,created_at_date,count
0,2021-07-01,187
1,2021-07-02,61
2,2021-07-05,141
3,2021-07-06,49
4,2021-07-07,21
5,2021-07-08,92
6,2021-07-09,9
7,2021-07-12,222
8,2021-07-13,29
9,2021-07-14,15
10,2021-07-15,5
11,2021-07-16,66
12,2021-07-19,181
13,2021-07-20,38
14,2021-07-21,34
15,2021-07-22,31
16,2021-07-23,57
17,2021-07-25,27
18,2021-07-26,251
19,2021-07-27,66
20,2021-07-28,85
21,2021-07-29,13
22,2021-07-30,104
23,2021-08-01,5
24,2021-08-02,363
25,2021-08-03,69
26,2021-08-04,61
27,2021-08-05,13
28,2021-08-06,9
29,2021-08-09,231
30,2021-08-10,123
31,2021-08-11,32
32,2021-08-12,44
33,2021-08-13,105
34,2021-08-16,262
35,2021-08-17,44
36,2021-08-18,50
37,2021-08-19,19
38,2021-08-20,75
39,2021-08-22,2
40,2021-08-23,179
41,2021-08-24,167
42,2021-08-25,26
43,2021-08-26,22
44,2021-08-27,42
45,2021-08-28,21
46,2021-08-30,350
47,2021-08-31,91
48,2021-09-01,64
49,2021-09-02,94
50,2021-09-03,20
51,2021-09-05,12
52,2021-09-06,226
53,2021-09-07,56
54,2021-09-08,12
55,2021-09-09,61
56,2021-09-10,162
57,2021-09-13,230
58,2021-09-14,49
59,2021-09-15,49
60,2021-09-16,38
61,2021-09-17,20
62,2021-09-20,343
63,2021-09-21,8
